"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
637,"The Heir Apparent: Largo Winch","11/18/2011","Music Box Films","Action","?",  8019,  1007,  7945
638,"Rid of Me","11/18/2011","Phase 4 Films","Black Comedy","?",  8015,  1007,  7945
639,"Certifiably Jonathan","2/11/2011","?","Comedy","?",  7826,  983,  7756
640,"The Ward","7/8/2011","Cinedigm","Horror","R",  7760,  975,  7693
641,"Inception","7/16/2010","Warner Bros.","Thriller/Suspense","PG-13",  7344,  923,  7282
642,"The Ledge","7/8/2011","IFC Films","Drama","R",  7140,  897,  7077
643,"Good Neighbors","7/29/2011","Magnolia Pictures","Thriller/Suspense","R",  7072,  888,  7006
644,"Boxing Gym","10/22/2010","Zipporah","Documentary","?",  6898,  867,  6841
645,"Ma part du gateau","12/9/2011","IFC Films","Drama","?",  6850,  861,  6793
646,"Janie Jones","10/28/2011","TriBeca Films","Comedy","?",  6840,  859,  6778
647,"The Trouble with Terkel","10/15/2010","Indican Pictures","Adventure","?",  6584,  827,  6525
648,"Addiction Incorporated","12/14/2011","Variance Films","Documentary","PG-13",  6442,  809,  6383
649,"That's What I Am","4/29/2011","Samuel Goldwyn Films","Drama","PG",  6400,  804,  6344
650,"I Melt with You","12/9/2011","Magnolia Pictures","Drama","R",  6361,  799,  6304
651,"Chillar Party","7/8/2011","UTV Communications","Comedy","?",  6330,  795,  6273
652,"Florent: Queen of the Meat Market","5/20/2011","Self Distributed","Documentary","?",  6282,  789,  6225
653,"The Family Tree","8/26/2011","?","Black Comedy","R",  6035,  758,  5981
654,"Saint Misbehavin': The Wavy Gravy Movie","12/3/2010","Argot Pictures","Documentary","?",  6007,  755,  5957
655,"Miss Minoes","12/23/2011","Music Box Films","Adventure","PG",  5947,  747,  5894
656,"Alamar","7/14/2010","Film Movement","Drama","?",  5905,  742,  5854
657,"Rabia","1/28/2011","Strand","Thriller/Suspense","?",  5594,  703,  5547
658,"Elevate","10/21/2011","Variance Films","Documentary","PG",  5580,  701,  5531
659,"Aurora","6/29/2011","Cinema Guild","Drama","?",  5558,  698,  5507
660,"My Joy","9/30/2011","Kino Lorber","Drama","?",  5457,  686,  5413
661,"Sons of Perdition","2/18/2011","?","Documentary","R",  5401,  679,  5357
662,"Genius Within: The Inner Life of Glenn Gould","9/10/2010","Lorber Films","Documentary","?",  5386,  677,  5342
663,"The Worst Movie EVER!","8/19/2011","Hiltz Squared","Comedy","?",  5303,  666,  5255
664,"Wrecked","4/1/2011","IFC Films","Thriller/Suspense","R",  5255,  660,  5207
665,"Tanner Hall","9/9/2011","Anchor Bay Entertainment","Drama","R",  5073,  637,  5026
666,"Cosa Voglio Di Piu","12/3/2010","Film Movement","Drama","?",  5037,  633,  4994
667,"Grease","6/16/1978","Paramount Pictures","Musical","PG",  4907,  616,  4860
668,"The Imperialists Are Still Alive!","4/15/2011","IFC Films","Drama","?",  4781,  601,  4742
669,"Scheherazade, Tell Me a Story","2/25/2011","ArtMattan Productions","Drama","?",  4726,  594,  4687
670,"Shoah","12/10/2010","IFC Films","Documentary","?",  4533,  569,  4489
671,"Fancypants","9/30/2011","Humble Pie Films","Comedy","?",  4227,  531,  4190
672,"Daylight","7/15/2011","Cinema Purgatorio","Thriller/Suspense","?",  4171,  524,  4134
673,"Kyatapira","5/6/2011","Lorber Films","Drama","?",  4157,  522,  4119
674,"To Die Like a Man","4/8/2011","Strand","Musical","?",  4029,  506,  3992
675,"Building Hope","6/3/2011","The Nobility Project","Documentary","?",  4000,  503,  3969
676,"Ranchero","7/15/2011","Indican Pictures","Drama","?",  3826,  481,  3795
677,"Zenith","10/1/2010","Cinema Purgatorio","Thriller/Suspense","?",  3801,  478,  3771
678,"The Harvest/La Cosecha","7/29/2011","Cinema Libre","Documentary","?",  3709,  466,  3677
679,"Passion Play","5/6/2011","Image Entertainment","Drama","R",  3669,  461,  3637
680,"Raymond Did It","2/11/2011","Plastic Age Productions","Horror","?",  3632,  456,  3598
681,"The Sons of Tenessee Williams","10/7/2011","First Run Features","Documentary","?",  3242,  407,  3211
682,"Plastic Planet","1/14/2011","First Run Features","Documentary","?",  3164,  397,  3132
683,"Balls to the Wall","10/21/2011","Midwest Movies","Comedy","R",  3140,  394,  3109
684,"The Weird World of Blowfly","9/16/2011","Variance Films","Documentary","?",  3062,  385,  3038
685,"Corman's World: Exploits of a Hollywood Rebel","12/16/2011","Anchor Bay Entertainment","Documentary","R",  3050,  383,  3022
686,"Protektor","8/5/2011","Film Movement","Documentary","?",  2968,  373,  2943
687,"Red Hill","11/5/2010","Sony Pictures","Thriller/Suspense","R",  2863,  360,  2840
688,"Zokkomon","4/22/2011","Walt Disney Pictures","Adventure","PG",  2815,  354,  2793
689,"Blood Ties","2/11/2011","Afterlight Pictures","Action","?",  2761,  347,  2738
690,"Forks Over Knives","5/6/2011","Monica Beach Media","Documentary","PG",  2700,  339,  2675
691,"Restitution","10/21/2011","Monterey Media","Thriller/Suspense","R",  2664,  335,  2643
692,"Jitsuroku rengo sekigun: Asama sanso e no michi","5/27/2011","Lorber Films","Drama","?",  2659,  334,  2635
693,"Det rode kapel","12/29/2010","Lorber Films","Documentary","?",  2657,  334,  2635
694,"Brutal Beauty: Tales of the Rose City Rollers","1/8/2010","Cinema Purgatorio","Documentary","?",  2647,  333,  2627
695,"Knuckle","12/9/2011","ARC Entertainment","Documentary","R",  2647,  333,  2627
696,"Main Street","9/9/2011","Magnolia Pictures","Drama","PG",  2560,  322,  2541
697,"Flickan som lekte med elden","12/25/2009","Music Box Films","Thriller/Suspense","R",  2547,  320,  2525
698,"About Fifty","11/11/2011","?","?","R",  2500,  314,  2477
699,"Fading of the Cries","7/8/2011","Eammon Films","Multiple Genres","R",  2300,  289,  2280
700,"The Catechism Cataclysm","10/19/2011","IFC Midnight","Comedy","?",  2270,  285,  2249
701,"Raw Faith","6/24/2011","Alive Mind","Documentary","?",  2167,  272,  2146
702,"Medianeras","10/26/2011","IFC Films","Drama","?",  2140,  269,  2122
703,"The Taqwacores","10/22/2010","Strand","Drama","?",  2098,  264,  2083
704,"Män som hatar kvinnor","3/19/2010","Alliance","Thriller/Suspense","R",  2075,  261,  2059
705,"To Die is Hard","12/17/2010","Driving With Our Eyes Shut","Comedy","?",  1938,  243,  1917
706,"American Grindhouse","6/18/2010","Lorber Films","Documentary","?",  1931,  243,  1917
707,"Love, Wedding, Marriage","6/3/2011","IFC Films","Comedy","PG-13",  1925,  242,  1909
708,"36 vues du Pic Saint Loup","7/9/2010","Cinema Guild","Comedy","?",  1839,  231,  1823
709,"Now & Later","2/18/2011","Cinema Libre","Drama","?",  1808,  227,  1791
710,"Chalet Girl","10/14/2011","IFC Films","Romantic Comedy","?",  1610,  202,  1594
711,"Burke & Hare","9/9/2011","IFC Films","Black Comedy","?",  1587,  199,  1570
712,"Violet Tendencies","11/5/2010","Embrem Entertainment","Comedy","?",  1442,  181,  1428
713,"La Pivellina","9/1/2011","First Run Features","Drama","?",  1350,  170,  1341
714,"Flypaper","8/19/2011","IFC Films","Comedy","?",  1232,  155,  1223
715,"Henri-Georges Clouzot's Inferno","7/16/2010","?","Documentary","?",  1161,  146,  1152
716,"Illegal","3/25/2011","Film Movement","Drama","?",  651,  82,  647
717,"Rosencrantz and Guildenstein are Undead","6/4/2010","Indican Pictures","Comedy","?",  444,  56,  442
718,"Angels Crest","12/30/2011","Magnolia Pictures","Drama","R",  407,  51,  402
719,"Hadewijch","12/24/2010","IFC Films","Drama","?",  403,  51,  402
720,"Picture Me: A Model's Diary","9/17/2010","?","Documentary","?",  160,  20,  158
