"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
424,"Inkubus","10/28/2011","Screen Media Films","Horror","R",  81600,  10251,  80880
425,"Su Qi Er","5/13/2011","Indomina Releasing","Action","R",  80096,  10062,  79389
426,"Circo","4/1/2011","First Run Features","Documentary","?",  77466,  9732,  76785
427,"Beautiful Boy","6/3/2011","Anchor Bay Entertainment","Drama","R",  77247,  9704,  76565
428,"Chalo Dilli","4/29/2011","Eros Entertainment","?","?",  72486,  9106,  71846
429,"Kings of Pastry","9/15/2010","First Run Features","Documentary","?",  71904,  9033,  71270
430,"Evidence of a Haunting","8/26/2011","Nocturnal Features","Horror","?",  71834,  9024,  71199
431,"The Tree","7/15/2011","Zeitgeist","Drama","?",  71158,  8939,  70529
432,"Hausu","1/15/2010","Janus Films","?","?",  69650,  8750,  69038
433,"Zhan Guo","4/22/2011","China Lion Film Distribution","?","?",  68961,  8663,  68351
434,"Four Lions","11/5/2010","Drafthouse Films","Black Comedy","R",  67871,  8527,  67278
435,"Puncture","9/23/2011","Millenium Films","Drama","R",  67071,  8426,  66481
436,"Mei Li Ren Sheng","5/20/2011","China Lion Film Distribution","Drama","?",  66171,  8313,  65590
437,"Shaolin","9/9/2011","Variance Films","Action","R",  66099,  8304,  65519
438,"Snowmen","10/21/2011","ARC Entertainment","Drama","PG",  66000,  8291,  65416
439,"Get Low","7/30/2010","Sony Pictures Classics","?","PG-13",  65445,  8222,  64872
440,"Bhutto","12/3/2010","First Run Features","Documentary","?",  65239,  8196,  64666
441,"Co Dau Dai Chien","5/6/2011","Variance Films","?","?",  64572,  8112,  64004
442,"The Human Resources Manager","3/4/2011","Film Movement","Drama","?",  64014,  8042,  63451
443,"Sama Wozu","12/24/2010","GKIDS","Adventure","PG-13",  62559,  7859,  62008
444,"Gekijouban Trigun: Badlands Rumble","7/8/2011","Eleven Arts","Action","?",  62027,  7792,  61479
445,"Queen of the Lot","11/19/2010","Rainbow Releasing","Drama","R",  61908,  7777,  61361
446,"If A Tree Falls: The Story of the Earth Liberation Front","6/22/2011","Oscilloscope Pictures","Drama","?",  61794,  7763,  61250
447,"Viva Riva!","6/10/2011","Music Box Films","Thriller/Suspense","R",  61759,  7759,  61219
448,"Une vie qui commence","1/21/2011","Alliance Vivafilm","Drama","?",  61337,  7706,  60800
449,"How to Live Forever","5/13/2011","Variance Films","Documentary","?",  60630,  7617,  60098
450,"Limelight","9/23/2011","Magnolia Pictures","Documentary","?",  60335,  7580,  59806
451,"Crime after Crime","7/1/2011","Life Sentence Films m Tuckman Media","Documentary","?",  60291,  7574,  59759
452,"3","9/16/2011","Strand","Drama","?",  59774,  7509,  59246
453,"Jodaeiye Nader az Simin","12/30/2011","Sony Pictures Classics","Drama","PG-13",  59481,  7472,  58954
454,"The Whale","9/9/2011","Paladin","Documentary","G",  57986,  7285,  57479
455,"White Material","11/19/2010","IFC Films","Drama","?",  57692,  7248,  57187
456,"Finding Joe","9/30/2011","Balcony Releasing","Documentary","?",  55518,  6975,  55033
457,"Into Eternity","2/2/2011","International Film Circuit","Documentary","?",  55366,  6956,  54883
458,"The Other F Word","11/4/2011","Oscilloscope Pictures","Documentary","?",  53714,  6748,  53242
459,"Dirty Girl","10/7/2011","Weinstein Co.","Drama","R",  53630,  6737,  53155
460,"Farmageddon","6/17/2011","Kristin Marie Productions","Documentary","?",  53256,  6690,  52784
461,"For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf","11/5/2010","Lionsgate","Drama","R",  52924,  6649,  52461
462,"!Women, Art, Revolution","6/1/2011","Zeitgeist","Documentary","?",  52681,  6618,  52216
463,"My Reincarnation","10/28/2011","Long Shot Factory","Documentary","?",  51742,  6500,  51285
464,"Jing mo fung wan: Chen Zhen","4/22/2011","Variance Films","Action","R",  50433,  6336,  49991
465,"In The Land of Blood and Honey","12/23/2011","FilmDistrict","Drama","R",  49142,  6174,  48713
466,"Orgasm Inc.","2/11/2011","First Run Features","Documentary","?",  49001,  6156,  48571
467,"The Perfect Host","7/1/2011","Magnolia Pictures","Thriller/Suspense","R",  48764,  6126,  48334
468,"Marwencol","10/8/2010","?","Documentary","?",  48744,  6124,  48318
469,"Putty Hill","2/18/2011","Cinema Guild","Drama","?",  48644,  6111,  48216
470,"Lebanon, PA","4/29/2011","Truly Indie","Drama","PG-13",  48381,  6078,  47955
471,"Dao Jian Xiao","3/18/2011","China Lion Film Distribution","Comedy","PG-13",  47897,  6017,  47474
472,"What If...","8/20/2010","Five & Two Pictures","?","PG",  47362,  5950,  46946
473,"Pianomania","5/27/2011","First Run Features","Documentary","?",  47328,  5946,  46914
474,"Margaret","9/30/2011","Fox Searchlight","Drama","R",  47185,  5928,  46772
475,"Alabama Moon","4/1/2011","Faulkner-McLean Entertainment","Adventure","PG",  47009,  5906,  46598
476,"Connected: An Autobiography about Love, Death & Technology","9/16/2011","Paladin","Documentary","?",  46782,  5877,  46370
477,"The Woodmans","1/19/2011","Lorber Films","Documentary","?",  46623,  5857,  46212
478,"The Tempest","12/10/2010","Miramax","Drama","PG-13",  46310,  5818,  45904
479,"Every Day","1/14/2011","Image Entertainment","Drama","R",  46029,  5783,  45628
480,"Tees Maar Khan","12/22/2010","UTV Communications","Comedy","?",  45764,  5749,  45360
481,"Rapt","7/6/2011","Lorber Films","Drama","?",  45759,  5749,  45360
482,"Texas Killing Fields","10/14/2011","Anchor Bay Entertainment","Thriller/Suspense","R",  45470,  5712,  45068
483,"Sykt lykkelig","9/16/2011","Magnolia Pictures","Drama","R",  45154,  5673,  44760
484,"Contracorriente","9/17/2010","The Film Collaborative","Drama","?",  44462,  5586,  44074
485,"Desert Flower","3/18/2011","National Geographic Entertainment","Drama","R",  44348,  5571,  43955
486,"Crazy Wisdom","11/25/2011","Alive Mind","Documentary","?",  43742,  5495,  43356
487,"Love Etc.","7/1/2011","?","Documentary","?",  43593,  5477,  43214
488,"Over Your Cities Grass Will Grow","8/10/2011","Alive Mind","Documentary","?",  43214,  5429,  42835
489,"Public Speaking","2/23/2011","Rialto Pictures","Documentary","?",  43184,  5425,  42803
490,"People v. The State of Illusion","9/9/2011","Self Distributed","Documentary","?",  42202,  5302,  41833
491,"Down for Life","1/14/2011","BD Fox Independent","Drama","?",  41914,  5266,  41549
492,"La conquête","11/11/2011","Music Box Films","Drama","?",  41130,  5167,  40768
493,"Choejongbyungki Hwal","10/14/2011","CJ Entertainment","Action","?",  40685,  5111,  40326
494,"Balada triste de trompeta","8/19/2011","Magnolia Pictures","Black Comedy","R",  40548,  5094,  40192
